Ask Price,Ask Amount,Bid Price,Bid Amount
17883.1205283576,11.63611622477768,17875.875168864586,10.407020560753072
18974.380937443333,8.207698152473565,18965.61211160371,7.056710787701455
16990.22543776882,11.85121536618066,16980.132038138643,11.486035438793234
17350.129116739517,8.467211469205388,17334.634667215294,6.211565061664938
17656.7484369197,4.94423418095303,17649.60660454473,4.665887316989638
18087.463108276796,12.420874656760526,18075.599001485778,10.46728090907677
17967.089318676666,7.253834951440269,17953.284826916955,5.427144403998998
17745.541742515477,12.692640692188249,17740.363314185302,9.057646000077444
17953.088940214246,10.56756754812257,17941.253455395607,8.452989114459767
17906.564927772084,14.41287139571859,17898.41003172401,12.507216948443178
17357.87755542079,12.686665938367211,17350.414399304704,12.088392399211703
17277.78956269861,10.277689229820897,17264.17002640003,8.408006423614044
18253.770701231246,10.417847094391457,18239.403844220986,7.379862660263046
17206.982029953186,8.385311885483256,17191.051794973737,7.013709297354563
16967.842153932426,10.222311288798759,16951.778806871138,8.698654836103547
17726.693857743852,9.982594544843275,17711.542218362374,9.207882542976796
17865.395860994588,10.181501210116682,17855.255372269927,8.116332423175946
20040.762837667826,11.116834781303925,20026.975864534605,8.922867698735356
17375.719358836217,11.653869925623699,17358.683569388893,9.813128714266114
18854.001047616573,11.711041681636965,18840.021539605263,8.801586872545334
