Ask Price,Ask Amount,Bid Price,Bid Amount
2350.5973011706064,10.645833805194775,2338.51865169053,9.162756986026926
2627.7002821234446,12.787271056300558,2611.599463607004,11.860652387759474
2359.1802695879546,9.969649827534404,2346.1721798732397,7.480021656820251
2749.2618379933524,10.60812460845675,2740.0130791121396,9.334171246916501
2455.8687256706826,10.202851318774169,2438.771292090631,8.83999737786997
2410.3756535292214,15.491870043039366,2398.990446308974,12.722414895660773
2744.951742869993,13.32526740881828,2737.082278526693,10.63336403832496
2687.952942670079,11.24871764127917,2682.1445411329955,8.934059781976595
2736.1206071062443,9.78632425730957,2727.781063627945,6.929517343495437
2622.7549337942787,11.605143136057935,2612.0246178219327,9.581171142882539
2400.0027465236058,8.692636677616706,2389.4795586891923,6.843895199193382
2744.1722484149373,11.580418424220985,2733.9359499186157,9.896816245664667
2469.546310282837,9.368342144887173,2462.132048808069,7.623922903397425
2603.5962578104827,12.119794378236795,2595.1348706552662,10.183914451981462
2619.928758414633,12.329815860337092,2614.907837615066,9.229308876135423
2485.533487993669,11.24549939931639,2474.342679245522,8.999107435258912
2580.566084231207,12.049977112505587,2567.985220839951,10.310355865492397
2622.5429253451553,9.55917829343378,2613.218047242158,7.613289098007993
2551.452957948086,7.56456888422006,2541.3967794300665,6.984625555405841
2365.1913342750127,12.4748770703542,2360.3862882198696,9.019724768944693
